fold,split,label,parsed_view,n
0,train,normal,A4,491
0,train,normal,IVC,98
0,train,normal,PSL,186
0,train,normal,PSS,471
0,train,normal,SX,105
0,train,pe,A4,514
0,train,pe,IVC,94
0,train,pe,MS,34
0,train,pe,PSL,173
0,train,pe,PSS,626
0,train,pe,SX,50
0,val,normal,A4,70
0,val,normal,IVC,14
0,val,normal,PSL,27
0,val,normal,PSS,67
0,val,normal,SX,15
0,val,pe,A4,74
0,val,pe,IVC,13
0,val,pe,MS,5
0,val,pe,PSL,25
0,val,pe,PSS,90
0,val,pe,SX,7
0,test,normal,A4,141
0,test,normal,IVC,29
0,test,normal,PSL,54
0,test,normal,PSS,135
0,test,normal,SX,31
0,test,pe,A4,148
0,test,pe,IVC,27
0,test,pe,MS,10
0,test,pe,PSL,50
0,test,pe,PSS,180
0,test,pe,SX,15
1,train,normal,A4,491
1,train,normal,IVC,99
1,train,normal,PSL,186
1,train,normal,PSS,471
1,train,normal,SX,106
1,train,pe,A4,515
1,train,pe,IVC,94
1,train,pe,MS,34
1,train,pe,PSL,173
1,train,pe,PSS,627
1,train,pe,SX,50
1,val,normal,A4,70
1,val,normal,IVC,14
1,val,normal,PSL,27
1,val,normal,PSS,67
1,val,normal,SX,15
1,val,pe,A4,74
1,val,pe,IVC,13
1,val,pe,MS,5
1,val,pe,PSL,25
1,val,pe,PSS,90
1,val,pe,SX,7
1,test,normal,A4,141
1,test,normal,IVC,28
1,test,normal,PSL,54
1,test,normal,PSS,135
1,test,normal,SX,30
1,test,pe,A4,147
1,test,pe,IVC,27
1,test,pe,MS,10
1,test,pe,PSL,50
1,test,pe,PSS,179
1,test,pe,SX,15
2,train,normal,A4,492
2,train,normal,IVC,99
2,train,normal,PSL,187
2,train,normal,PSS,471
2,train,normal,SX,106
2,train,pe,A4,515
2,train,pe,IVC,94
2,train,pe,MS,34
2,train,pe,PSL,173
2,train,pe,PSS,627
2,train,pe,SX,51
2,val,normal,A4,70
2,val,normal,IVC,14
2,val,normal,PSL,27
2,val,normal,PSS,67
2,val,normal,SX,15
2,val,pe,A4,74
2,val,pe,IVC,13
2,val,pe,MS,5
2,val,pe,PSL,25
2,val,pe,PSS,90
2,val,pe,SX,7
2,test,normal,A4,140
2,test,normal,IVC,28
2,test,normal,PSL,53
2,test,normal,PSS,135
2,test,normal,SX,30
2,test,pe,A4,147
2,test,pe,IVC,27
2,test,pe,MS,10
2,test,pe,PSL,50
2,test,pe,PSS,179
2,test,pe,SX,14
3,train,normal,A4,492
3,train,normal,IVC,99
3,train,normal,PSL,187
3,train,normal,PSS,472
3,train,normal,SX,106
3,train,pe,A4,515
3,train,pe,IVC,94
3,train,pe,MS,34
3,train,pe,PSL,174
3,train,pe,PSS,627
3,train,pe,SX,51
3,val,normal,A4,70
3,val,normal,IVC,14
3,val,normal,PSL,27
3,val,normal,PSS,67
3,val,normal,SX,15
3,val,pe,A4,74
3,val,pe,IVC,13
3,val,pe,MS,5
3,val,pe,PSL,25
3,val,pe,PSS,90
3,val,pe,SX,7
3,test,normal,A4,140
3,test,normal,IVC,28
3,test,normal,PSL,53
3,test,normal,PSS,134
3,test,normal,SX,30
3,test,pe,A4,147
3,test,pe,IVC,27
3,test,pe,MS,10
3,test,pe,PSL,49
3,test,pe,PSS,179
3,test,pe,SX,14
4,train,normal,A4,492
4,train,normal,IVC,99
4,train,normal,PSL,187
4,train,normal,PSS,472
4,train,normal,SX,106
4,train,pe,A4,515
4,train,pe,IVC,94
4,train,pe,MS,35
4,train,pe,PSL,174
4,train,pe,PSS,627
4,train,pe,SX,51
4,val,normal,A4,70
4,val,normal,IVC,14
4,val,normal,PSL,27
4,val,normal,PSS,67
4,val,normal,SX,15
4,val,pe,A4,74
4,val,pe,IVC,14
4,val,pe,MS,5
4,val,pe,PSL,25
4,val,pe,PSS,90
4,val,pe,SX,7
4,test,normal,A4,140
4,test,normal,IVC,28
4,test,normal,PSL,53
4,test,normal,PSS,134
4,test,normal,SX,30
4,test,pe,A4,147
4,test,pe,IVC,26
4,test,pe,MS,9
4,test,pe,PSL,49
4,test,pe,PSS,179
4,test,pe,SX,14
